Model,Length RMSE,Size RMSE
Linear,3.6537208459176496,0.7593951520333333
SVR,3.76100415858352,0.755997160657659
LGBM,3.631520271881326,0.7629640716861726
Random Forest,3.628017783354199,0.7674023573699513
Gradient Boosting,3.6697394869773334,0.750552991393112
MLP,3.5769937285364346,0.734428227446849
