Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size015_length010,4
size015_length020,5
size015_length025,6
size015_length030,7
size015_length040,8
size020_length010,9
size020_length020,10
size020_length025,11
size020_length030,12
size020_length040,13
size020_length045,14
size020_length050,15
size020_length060,16
size020_length080,17
size020_length100,18
size025_length020,19
size025_length025,20
size025_length030,21
size025_length035,22
size025_length040,23
size025_length050,24
size025_length060,25
size025_length080,26
size030_length030,27
size030_length040,28
size030_length045,29
size030_length054,30
size030_length060,31
size030_length080,32
size030_length090,33
size030_length100,34
size030_length120,35
size030_length150,36
size030_length200,37
size035_length050,38
size035_length060,39
size035_length075,40
size035_length080,41
size035_length090,42
size035_length100,43
size036_length060,44
size040_length020,45
size040_length040,46
size040_length050,47
size040_length060,48
size040_length070,49
size040_length075,50
size040_length080,51
size040_length100,52
size040_length120,53
size040_length130,54
size040_length150,55
size040_length300,56
size045_length080,57
size045_length100,58
size045_length120,59
size045_length210,60
size050_length050,61
size050_length060,62
size050_length080,63
size050_length090,64
size050_length100,65
size050_length120,66
size050_length130,67
size050_length150,68
size050_length170,69
size050_length200,70
size050_length300,71
size060_length080,72
size060_length100,73
size060_length110,74
size060_length119,75
size060_length120,76
size060_length122,77
size060_length150,78
size060_length190,79
size060_length200,80
size070_length100,81
size070_length120,82
size070_length150,83
size070_length200,84
size070_length210,85
size070_length250,86
size070_length300,87
size080_length080,88
size080_length136,89
size080_length200,90
size080_length240,91
size080_length250,92
size080_length300,93
size080_length330,94
size090_length150,95
size090_length200,96
size090_length250,97
size090_length300,98
size100_length171,99
size100_length300,100
size100_length360,101
size100_length400,102
size110_length300,103
size120_length300,104
size120_length400,105
size120_length450,106
size130_length300,107
size140_length300,108
size140_length500,109
size160_length300,110
size160_length500,111
size180_length300,112
size180_length500,113
size200_length300,114
size200_length330,115
size200_length500,116
size220_length400,117
size220_length500,118
size240_length200,119
size240_length300,120
size240_length400,121
size260_length200,122
size300_length200,123
