mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
1.1414160251617431,0.27857685538156146,0.004608821868896484,0.0009206392506809168,identity,"(50,)","{'activation': 'identity', 'hidden_layer_sizes': (50,)}",-0.8872518740379606,-0.4787279759985886,-0.5380405804965966,-0.5742642854935068,-0.4589247079335025,-0.5533458026343632,-0.8652228038236865,-0.46289551084294345,-0.8771242719468635,-0.9753044059890207,-0.6671102219197033,0.19635552163980644,12
2.166526985168457,0.47142008845363276,0.005105853080749512,0.00047241607869364174,identity,"(100,)","{'activation': 'identity', 'hidden_layer_sizes': (100,)}",-0.897461946981397,-0.5040731272807291,-0.6039576052715248,-0.5097664819452115,-0.541690463528019,-0.4974300632643104,-0.7358946928159457,-0.42096616070124226,-0.8468846155832532,-0.9080719186461709,-0.6466197076017803,0.17447370903608794,11
1.5913239479064942,0.7973704670181431,0.00551602840423584,0.0008045802141221791,identity,"(50, 50)","{'activation': 'identity', 'hidden_layer_sizes': (50, 50)}",-1.0454472566412651,-0.5313668538702063,-0.6938558556548247,-0.7203458579639295,-0.4416437792450092,-0.5446646740415311,-0.5458849450894385,-0.7657241684762442,-0.8745290972460871,-1.1732367117193931,-0.7336699199947929,0.22588659152016888,15
1.7182524442672729,0.4290475241229814,0.005754208564758301,0.0012414491240656852,identity,"(100, 100)","{'activation': 'identity', 'hidden_layer_sizes': (100, 100)}",-2.1494320744572057,-0.4774942351914237,-1.068724973321223,-0.4188035956531374,-0.8931984434494329,-0.5791208295548803,-1.2567932728791755,-0.6349711153192329,-0.7717324256842988,-0.9216276955289032,-0.9171898661038913,0.48105369674388376,16
1.931947946548462,0.04255015554823778,0.005111837387084961,0.00029578528709226523,logistic,"(50,)","{'activation': 'logistic', 'hidden_layer_sizes': (50,)}",-1.0064158786369977,-0.47484232508686763,-0.5022294890988549,-0.4901082788233514,-0.5178740777780728,-0.47236792795489957,-0.6842820550012028,-0.40115676629457375,-0.7589575873903889,-0.7788413866193795,-0.6087075772684589,0.1812853605843614,3
4.558878231048584,0.2405748431890022,0.0057095766067504885,0.00041522287377567945,logistic,"(100,)","{'activation': 'logistic', 'hidden_layer_sizes': (100,)}",-0.883850313982299,-0.4490992272931796,-0.49167238799260016,-0.4919925654781182,-0.5245802126914016,-0.45386301189534134,-0.6275798024841253,-0.4135964437808607,-0.7569262826454962,-0.7616920460649043,-0.5854852294308326,0.15425855132588395,1
4.854429626464844,0.21329989064604052,0.006508135795593261,0.0015073822803867674,logistic,"(50, 50)","{'activation': 'logistic', 'hidden_layer_sizes': (50, 50)}",-1.0486204940079191,-0.45148939424061707,-0.5447816655588898,-0.4786120128815823,-0.5732319685280333,-0.4575210523297056,-0.7112082522951539,-0.39476806126668496,-0.8014077157048491,-0.7614588377567049,-0.622309945457014,0.1944892658238953,7
8.719109416007996,0.8409700914091797,0.008796763420104981,0.0019223052358394472,logistic,"(100, 100)","{'activation': 'logistic', 'hidden_layer_sizes': (100, 100)}",-0.8768844125237397,-0.4590251745889481,-0.5040047015111834,-0.4922975585310523,-0.5348437310163546,-0.5009835149742963,-0.71373630771944,-0.43782876051112485,-0.7429998118279026,-0.7893787077092893,-0.6051982680913331,0.15055958157464047,2
1.4917031288146974,0.014341622619901646,0.004224991798400879,0.00040780210293465464,tanh,"(50,)","{'activation': 'tanh', 'hidden_layer_sizes': (50,)}",-1.0438172470811258,-0.48144952989179873,-0.5823993701048769,-0.5252190025814166,-0.5133146622070955,-0.5024584337708814,-0.6436205759039927,-0.46895430661669285,-0.7335083719065592,-0.8262061905579003,-0.6320947690622339,0.17655802441368987,9
3.055803990364075,0.37426793796826907,0.005416989326477051,0.0006633396112903189,tanh,"(100,)","{'activation': 'tanh', 'hidden_layer_sizes': (100,)}",-0.921076042843793,-0.48215890636163217,-0.5018280855099279,-0.5294078452691102,-0.5258035386999953,-0.5172517454982152,-0.6782708978403935,-0.4345468552796397,-0.7588124060316289,-0.8154734821922207,-0.6164629805526557,0.15696837112369796,5
3.3384895801544188,0.2726596069700108,0.005310583114624024,0.0006424528960780774,tanh,"(50, 50)","{'activation': 'tanh', 'hidden_layer_sizes': (50, 50)}",-0.8671992858100713,-0.48959711686618396,-0.4875652292947717,-0.5706806326960494,-0.5547457641714422,-0.49406271878456454,-0.7324681035379164,-0.4311224550905213,-0.7851292419662611,-0.8744810124444146,-0.6287051560662197,0.16056037416538851,8
5.333074283599854,1.161216279900014,0.006263160705566406,0.0006181312031802782,tanh,"(100, 100)","{'activation': 'tanh', 'hidden_layer_sizes': (100, 100)}",-0.9002833451909,-0.4525534346158948,-0.5456525041612829,-0.48258275277161666,-0.5713964580113843,-0.4895902873191422,-0.6821815420236013,-0.4546360630215362,-0.8008292103459267,-0.7739593452651408,-0.6153664942726426,0.15420016817629942,4
1.2956011533737182,0.18238300313207936,0.005412864685058594,0.002111144942435004,relu,"(50,)","{'activation': 'relu', 'hidden_layer_sizes': (50,)}",-0.9632097017113781,-0.4988830160314095,-0.573153230253096,-0.528700194013588,-0.5152305499359998,-0.4882534189045006,-0.7018504680052635,-0.41976941943738905,-0.8201550031014445,-0.9121655352305448,-0.6421370536624613,0.18402182347756116,10
