mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.2537543535232544,0.021510803915611224,0.005199289321899414,0.0013987934818738752,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",-22.709336632025874,-8.01268702024722,-6.645055862756428,-7.493299025830638,-10.590310852251143,-10.129414035570788,-10.385218908154233,-11.339815278254216,-31.06968037734905,-19.982182864526653,-13.835700085696626,7.627411214795441,8
0.4633366107940674,0.0028356195993355943,0.005095291137695313,0.0003006921054941489,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",-19.23640056328089,-5.996556829628394,-6.058933853129211,-6.994287620387032,-8.433895851908973,-9.08003835998536,-9.304188983107187,-9.968176704465053,-27.77109391213158,-17.403110461084466,-12.024668313910814,6.777271904691063,3
0.7108999967575074,0.026231833423814233,0.005397486686706543,0.0006633365589062853,0.01,300,"{'learning_rate': 0.01, 'n_estimators': 300}",-18.49918311430544,-6.055636502069517,-6.081288915898235,-7.1317206197104435,-7.888002670157992,-8.680505847028682,-9.081718144038131,-9.618362776460739,-25.999338487164728,-16.48718202363861,-11.55229391004725,6.265254384777323,1
0.2416621208190918,0.01373879518682661,0.004597258567810058,0.0006631572474004567,0.1,100,"{'learning_rate': 0.1, 'n_estimators': 100}",-19.063049823421593,-6.850318619093275,-6.284730628368359,-7.526060434553943,-8.496359187870944,-9.481991190770168,-9.652963860840105,-10.04346593667551,-24.235600944882172,-15.430972658985759,-11.706551328546183,5.636126191659869,2
0.47193117141723634,0.024311272368352267,0.005095624923706054,0.0008302875119503736,0.1,200,"{'learning_rate': 0.1, 'n_estimators': 200}",-19.771140739016158,-7.568520311709159,-6.777685978497419,-7.579898402259263,-9.31638906863478,-9.894762174877311,-10.006683348299056,-10.48862820872856,-24.242595361225455,-17.186909668455502,-12.283321326170267,5.663146790719101,4
0.6955048561096191,0.03109841516011143,0.005198526382446289,0.00060011004748335,0.1,300,"{'learning_rate': 0.1, 'n_estimators': 300}",-19.879049105944762,-8.243433970413609,-7.525681428809883,-7.732413486337795,-10.37615671350453,-10.772800281536336,-9.699798995675396,-11.219100577395626,-24.531257692791122,-18.24397834229658,-12.822367059470562,5.601102108606983,6
0.23466815948486328,0.011198839297805942,0.004297685623168945,0.00045906870306997304,0.2,100,"{'learning_rate': 0.2, 'n_estimators': 100}",-19.611636338730698,-7.27121052653177,-7.925998076152881,-8.28599235712631,-9.297450202239423,-10.794756647467674,-10.584030618976888,-11.609033361101648,-23.495737356721847,-16.51665327043095,-12.539249875548009,5.208149797101354,5
0.4575395107269287,0.003122642105093103,0.005097389221191406,0.00029936399223656247,0.2,200,"{'learning_rate': 0.2, 'n_estimators': 200}",-19.443561690783547,-7.9888671701494,-8.824378884472011,-8.32335718063096,-10.734479315279032,-12.978338239718747,-11.692203442546772,-12.69963568786266,-24.222316067628626,-18.38723416950983,-13.529437184858159,5.148115923461446,7
0.6946034908294678,0.021143838981754544,0.0052966117858886715,0.0007833155186843339,0.2,300,"{'learning_rate': 0.2, 'n_estimators': 300}",-20.687016815694264,-8.443623085574483,-9.280750871076744,-8.927798000188975,-11.329775595173908,-13.108690109631564,-11.40544208415297,-13.412275081246678,-25.466822422408907,-19.15355727147795,-14.121575133662645,5.445081364994339,9
