mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_copy_X,param_fit_intercept,param_n_jobs,param_positive,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0.009493803977966309,0.0015598923241414585,0.0043105602264404295,0.000999768657916803,True,True,-1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",-15.516316061899024,-4.900054520611232,-6.583486231038948,-8.211992930199552,-7.611871670930959,-8.287246702207046,-9.973209388965879,-10.130940158046847,-24.772627603680245,-16.9035571274258,-11.289130239500555,5.73789443807039,7
0.006078338623046875,0.0005306967522946897,0.003812551498413086,0.00039316125886002787,True,True,-1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': -1, 'positive': False}",-16.428862210757153,-4.82760388007029,-6.5232032435889336,-8.160267792679978,-7.62677437811313,-8.187832659791031,-9.777493869294702,-10.01342045085494,-24.87679369620556,-16.92089139997125,-11.334314358132698,5.864608265015457,13
0.010945415496826172,0.0027757386447239242,0.005216288566589356,0.002095081509114996,True,True,1,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': True}",-15.516316061899024,-4.900054520611232,-6.583486231038948,-8.211992930199552,-7.611871670930959,-8.287246702207046,-9.973209388965879,-10.130940158046847,-24.772627603680245,-16.9035571274258,-11.289130239500555,5.73789443807039,7
0.005986595153808593,1.5348380050667074e-05,0.003905630111694336,0.0002949177726743907,True,True,1,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 1, 'positive': False}",-16.428862210757153,-4.82760388007029,-6.5232032435889336,-8.160267792679978,-7.62677437811313,-8.187832659791031,-9.777493869294702,-10.01342045085494,-24.87679369620556,-16.92089139997125,-11.334314358132698,5.864608265015457,13
0.00922706127166748,0.0021218833341884896,0.003710508346557617,0.00044705516768949203,True,True,2,True,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 2, 'positive': True}",-15.516316061899024,-4.900054520611232,-6.583486231038948,-8.211992930199552,-7.611871670930959,-8.287246702207046,-9.973209388965879,-10.130940158046847,-24.772627603680245,-16.9035571274258,-11.289130239500555,5.73789443807039,7
0.0062748432159423825,0.0004543463511408872,0.00381624698638916,0.00039579747965422723,True,True,2,False,"{'copy_X': True, 'fit_intercept': True, 'n_jobs': 2, 'positive': False}",-16.428862210757153,-4.82760388007029,-6.5232032435889336,-8.160267792679978,-7.62677437811313,-8.187832659791031,-9.777493869294702,-10.01342045085494,-24.87679369620556,-16.92089139997125,-11.334314358132698,5.864608265015457,13
0.009022831916809082,0.0010410456507951341,0.004903221130371093,0.0016308576660221802,True,False,-1,True,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': -1, 'positive': True}",-15.625779616433668,-5.025517273587001,-6.361064835713747,-8.054684978381273,-7.497716615360176,-8.318930644116127,-10.037113397311712,-10.206546871077304,-24.771209658764423,-16.90343469508124,-11.280199858582666,5.762025323400623,1
0.00737755298614502,0.001752119496525749,0.004314970970153808,0.0006370663557002466,True,False,-1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': -1, 'positive': False}",-16.428862210757266,-4.827603880070275,-6.523203243588882,-8.160267792679868,-7.626774378113262,-8.187832659791129,-9.777493869294796,-10.01342045085496,-24.876793696205375,-16.920891399971225,-11.334314358132705,5.864608265015418,19
0.009432196617126465,0.00164053517777775,0.00430750846862793,0.0009044270450277553,True,False,1,True,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1, 'positive': True}",-15.625779616433668,-5.025517273587001,-6.361064835713747,-8.054684978381273,-7.497716615360176,-8.318930644116127,-10.037113397311712,-10.206546871077304,-24.771209658764423,-16.90343469508124,-11.280199858582666,5.762025323400623,1
0.0059853076934814455,0.0004413550720898158,0.00390920639038086,0.0005285171427460675,True,False,1,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 1, 'positive': False}",-16.428862210757266,-4.827603880070275,-6.523203243588882,-8.160267792679868,-7.626774378113262,-8.187832659791129,-9.777493869294796,-10.01342045085496,-24.876793696205375,-16.920891399971225,-11.334314358132705,5.864608265015418,19
0.0098557710647583,0.002165116278531403,0.0044166803359985355,0.0015623623206289156,True,False,2,True,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 2, 'positive': True}",-15.625779616433668,-5.025517273587001,-6.361064835713747,-8.054684978381273,-7.497716615360176,-8.318930644116127,-10.037113397311712,-10.206546871077304,-24.771209658764423,-16.90343469508124,-11.280199858582666,5.762025323400623,1
0.006476902961730957,0.0006704209067662218,0.004516172409057617,0.0009190742992666257,True,False,2,False,"{'copy_X': True, 'fit_intercept': False, 'n_jobs': 2, 'positive': False}",-16.428862210757266,-4.827603880070275,-6.523203243588882,-8.160267792679868,-7.626774378113262,-8.187832659791129,-9.777493869294796,-10.01342045085496,-24.876793696205375,-16.920891399971225,-11.334314358132705,5.864608265015418,19
0.009551334381103515,0.0013409879625331097,0.0046103477478027345,0.0016227592281445873,False,True,-1,True,"{'copy_X': False, 'fit_intercept': True, 'n_jobs': -1, 'positive': True}",-15.516316061899024,-4.900054520611232,-6.583486231038948,-8.211992930199552,-7.611871670930959,-8.287246702207046,-9.973209388965879,-10.130940158046847,-24.772627603680245,-16.9035571274258,-11.289130239500555,5.73789443807039,7
